"prolific_id","participant_id","trial_type","trial_index","political_affiliation","response","consented","blame_prescriptive","praise_prescriptive","emotion_prescriptive","poli_prescriptive","gender","age","language","education","employment","party","party_lean","political_ideology","political_follow","rep_id","dem_id","sm_use","sm_use_slider","sm_use_poli","sm_use_poli_slider","sm_post_poli","sm_post_poli_slider","share_why","image_shown"
"6705cd028b733c3fa02869f8","190","instructions","0","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","html-button-response","1","republican","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","survey-html-form","2","republican","","","","","","","","","","","","republican","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","call-function","3","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","call-function","4","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","preload","5","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","instructions","6","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","html-slider-response","7","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide205.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","8","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide57.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","9","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide591.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","10","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide178.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","11","republican","3","","","","","","","","","","","","","","","","","","","","","","","","Slide522.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","12","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide524.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","13","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide474.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","14","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide171.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","15","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide46.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","16","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide589.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","17","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide83.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","18","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide298.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","19","republican","2","","","","","","","","","","","","","","","","","","","","","","","","Slide388.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","20","republican","2","","","","","","","","","","","","","","","","","","","","","","","","Slide140.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","21","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide407.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","22","republican","2","","","","","","","","","","","","","","","","","","","","","","","","Slide263.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","23","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide412.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","24","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide287.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","25","republican","7","","","","","","","","","","","","","","","","","","","","","","","","Slide113.png"
"6705cd028b733c3fa02869f8","190","html-slider-response","26","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide230.png"
"6705cd028b733c3fa02869f8","190","instructions","27","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","survey-html-form","28","republican","","","3","6","6","6","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","instructions","29","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","survey-html-form","30","republican","","","","","","","female","44","yes","graduate","employed","","","","","","","","","","","","","",""
"6705cd028b733c3fa02869f8","190","survey-html-form","31","republican","","","","","","","","","","","","","","6","5","7","1","","","","","","","",""
"6705cd028b733c3fa02869f8","190","survey-html-form","32","republican","","","","","","","","","","","","","","","","","","daily_or_more","86","daily_or_more","58","2-3_times_a_week","43","see_content, change_opinions, represents_beliefs, show_common_beliefs",""
