prolificID,experiment_id,condition,gender,age,blame_prescriptive,praise_prescriptive
663a728e2efd6515cf7d8082,e1DXnn,2,2,32,-1,2
65c78dec7c58317f47313414,e1DXnn,1,2,51,2,3
665b0eaa13ba333dc8534944,egNJun,2,2,22,-2,3
663e2ff7858a9cb9709dc092,e1DXnn,2,2,51,-3,-1
662973cb1dd7240a760b4e4f,egNJun,2,2,38,-3,2
66338efe42ef272a6bce6b5a,e1DXnn,3,2,44,2,2
6617dd0a8c545a6732641dd4,e1DXnn,1,1,45,1,
652fef7dd80b934fb2a0e4d6,e1DXnn,1,2,41,1,1
6441356d5337fd4714939734,e1DXnn,3,1,46,-3,2
6297567582d2ed2d88ae0450,egNJun,3,1,35,-3,0
53c04378fdf99b360e022d92,e1DXnn,3,2,27,0,0
5c5f1e44c878bb000155e036,e1DXnn,3,2,29,-2,3
663a5d30071a8ee639e0b6be,e1DXnn,2,2,28,2,3
6014213c77aab7396ca3e5a7,e1DXnn,1,2,51,0,2
56b61b915cd743000e6e01c5,e1DXnn,3,1,42,2,1
5490c822fdf99b71ba910e1a,e1DXnn,3,2,28,1,3
597763c969b5670001b6c8cf,e1DXnn,2,1,31,1,2
657ca800404c8884226c8f42,e1DXnn,1,1,19,-2,1
60fdf439667428ddf589f80f,e1DXnn,3,1,27,1,2
643ead9be9be7fa2c20e1a53,e1DXnn,2,1,58,2,3
5eb6b8ee9351615bd9d99fde,e1DXnn,2,2,66,3,3
65b26bbe1d5dfa901eeb87c3,e1DXnn,3,2,31,0,1
5d14de777091ed0015774f0f,e1DXnn,3,2,24,0,1
5f0499756b5d4972f0da9c78,e1DXnn,2,1,31,-1,2
5d0e711c91721f001a919f11,e1DXnn,1,2,63,3,3
5fb8b141a2e5dd63494c80f1,e1DXnn,1,2,35,-2,2
63d152150ad28a2b24aa507a,e1DXnn,3,2,34,-2,3
6633b7d4771413763b8e3916,egNJun,2,1,49,-1,2
583d5dd49c5f2a0001b85f40,e1DXnn,3,2,28,2,1
614de6faf1af6a87e98a50bc,e1DXnn,2,1,51,3,3
662a9424413abe279fda0f42,e1DXnn,1,2,46,-1,2
65a1b0e9a87fd9d64a96c28a,e1DXnn,2,2,37,3,3
6005c0af8593c40dcad4aecf,e1DXnn,1,4,31,0,0
665c0557876948c40b2350d6,egNJun,3,2,41,-3,3
654a8c7f29438b574d5b9fee,e1DXnn,2,2,44,2,3
66146bd1bf9c4e046e5d9c9a,egNJun,2,1,44,0,2
6644ef43dd9263e6e076bac6,e1DXnn,2,2,45,-3,1
61281debe85082cc937dd9ae,e1DXnn,2,2,32,-1,2
6631997e0554bb6d25062fd4,egNJun,1,1,24,1,2
65957b97896708cd25109c8b,e1DXnn,1,2,38,1,0
6517f127855e8baf0247b2dd,e1DXnn,3,1,52,-1,3
605380e706df2f26164b0ba2,e1DXnn,2,3,36,3,3
663b8fd6c1f492b0149554eb,e1DXnn,2,2,42,-1,2
6609eee271e2fa6407181949,e1DXnn,1,2,60,2,3
5add6b6aeb60400001536f2c,e1DXnn,1,2,70,3,3
62fea0509e7df658ed2554d2,e1DXnn,3,1,33,-2,2
6632d0b9f5ef98c1d908b4fa,e1DXnn,1,2,56,-1,3
5e987098f1bb6707dca13f5b,e1DXnn,2,2,57,-2,3
5d6920acf59886000119e73e,egNJun,1,1,44,3,1
5dd6dadf9c84d86703aa8615,egNJun,1,1,38,2,3
63d3f9666978779139a949bb,e1DXnn,1,1,32,1,0
6646cdbd7a8e4d39556e459b,e1DXnn,2,2,35,3,3
63b6f0c524c4735cd7755c27,e1DXnn,3,2,47,-1,3
6614b9cbe0e2912e3ffd0705,egNJun,3,1,51,2,2
66240f705ac353a0bb928773,egNJun,3,1,40,-1,-1
6650f33dcbe94484580622ee,e1DXnn,2,2,21,3,2
5ebf2b97ce2e0f1c05e9b00a,e1DXnn,2,2,60,0,-1
6629517257384969d8995d78,e1DXnn,1,2,48,2,1
59a3af455fd74b0001abf9bf,e1DXnn,3,1,34,1,2
5a282206b279aa0001b0e002,e1DXnn,2,2,38,2,2
647d87d32f487c34fa8624a7,e1DXnn,3,1,53,-1,0
5f29aed2c46fc6118f5980c3,e1DXnn,3,2,43,0,3
5ee2d96eac3291203650f16e,e1DXnn,2,1,28,2,1
5c38def3f451bf0001d9c01e,e1DXnn,2,1,47,1,2
6400db08ae94a6b881964731,e1DXnn,3,1,32,2,3
60ee4bb7de4352af0286e091,e1DXnn,2,2,28,-2,1
662a9245186788440a6add6f,e1DXnn,1,2,53,0,0
65ca4cf5aae33168f7873a33,e1DXnn,1,2,34,2,1
663b911b5f8a5f3f42047bba,e1DXnn,3,2,34,-1,2
5c2befdb805c1d0001b47296,e1DXnn,1,2,43,1,1
616cc68f451393cd63dfc8ae,e1DXnn,2,2,30,1,3
664775717664d82e25137e82,e1DXnn,2,2,30,3,3
5b6e9435885b0b0001bb034b,e1DXnn,3,1,27,0,3
5c0e94e41d3b190001080862,e1DXnn,3,2,56,-3,-3
5efec82cf597a73e75e3fbe0,e1DXnn,3,2,22,-2,2
611115eb23d02f639a39f61e,e1DXnn,2,2,26,-1,1
665cd37d244c81a07e68f20f,egNJun,2,1,19,-1,1
65e630e4777c8e3ac50b9aea,e1DXnn,1,2,51,1,1
5dd292312e6c772a2ddca482,e1DXnn,2,1,34,1,3
6630e3986f35d4a64e170946,e1DXnn,1,2,39,3,2
5e7813d0cbcef5393c2ae567,e1DXnn,1,1,29,-1,1
607ec88e68df02237867c4ac,e1DXnn,3,2,44,1,2
65513436964e241ee99a5083,e1DXnn,1,2,46,3,3
5bb10d4288f88d0001f3d151,e1DXnn,1,2,60,3,3
656607db0fc2ad7c7b0948fa,e1DXnn,2,2,26,1,3
6642a197a599b06b914c10a6,e1DXnn,3,1,28,2,3
65c10d172e5146577fd1a778,e1DXnn,3,2,28,3,1
663bbe008fb8f91c22aaf751,e1DXnn,2,1,54,-1,2
662939c49821886e0246c494,e1DXnn,2,2,44,2,2
65ca7cfde19cfc959f00d9f1,e1DXnn,1,2,31,0,0
5c48d9b3cd853b0001287890,e1DXnn,3,1,32,-1,2
66378ba1edfed357d10c3959,e1DXnn,3,2,36,-2,2
