prolificID,experiment_id,condition,gender,age,blame_prescriptive,praise_prescriptive
8A408B8FC2A34269AAEC433FAE5A861C,ewMHzB,2,Female,38,1,3
A0337664A0C54108AD87471FDEEF9189,ewMHzB,4,Male,32,-2,-3
2E74D3AB9A77479CB7C76E9950112670,eNqCUq,2,Female,59,2,2
78A80DD289D442C09F8ED5FD1FE7D3A9,ewMHzB,2,Male,44,2,3
DA2B78A4434A4F23ABE9F09F8E73A200,eNqCUq,4,Male,31,3,3
29486248601248CFBEB33583CBC97A9D,eNqCUq,3,Male,27,1,2
4457626912044FCE92D7E610C1F0EE27,ewMHzB,3,Male,24,-2,2
552D8E85DE8D47AEA694C39CC7B02049,ewMHzB,2,Female,36,0,3
F6586134F687435A9064E1C721EBC99F,ewMHzB,4,Female,28,-1,1
176B40DB9C0E4C7A9EC1E3EC0095D980,eNqCUq,3,Male,49,3,3
D697DCF1D34A4B6B8D3B01E2FF8780CC,eNqCUq,4,Male,56,-2,2
DA91EE3BE4C1436F913749BE84E35CDF,eNqCUq,2,Female,40,-2,-2
FCC0DB8DF98E4EFCB74AD84858482053,ewMHzB,4,Female,38,-2,2
6DA6EDC1BEC94DAF8A827B6A535E48C3,eNqCUq,2,Male,47,3,3
FABCC210FAA54755B57865C1614BE16D,ewMHzB,2,Female,61,3,3
800BD28C6B45471DA4E1DD3ACFF52291,ewMHzB,3,Female,36,0,0
96129D58E7D04F5789B8EA0083A35C0C,eNqCUq,4,Male,32,1,3
834450244A024354956454E7847DCBA9,ewMHzB,2,Male,41,1,1
A47F25DDBE6C4D6583E7ECF26E5E0036,ewMHzB,4,Female,36,1,3
68D0A2A67F394ED5BA5B0D8E65F1B9EA,ewMHzB,2,Male,29,1,2
4680491AF58148D7915636150F84281B,ewMHzB,3,Male,44,2,0
A4CD57CECE224E6F8DC4667CFBE2AB48,ewMHzB,3,Female,63,1,3
D0F5235FFDD046168CC3A8B15902E5F6,ewMHzB,1,Female,36,2,2
30A264DBBF9F4CA3B0B1768B361B0F79,ewMHzB,3,Male,42,-2,3
D94857453F994176A80343773ECC7BF8,ewMHzB,2,Male,30,2,1
0389D966F94745A689A95056F59F4C47,ewMHzB,1,Other,38,3,3
07755119773D4CE2BF71E309ECF23F6F,ewMHzB,3,Male,26,2,0
61D0A7C597FE4F2A9040928253B10A90,ewMHzB,1,Male,24,3,1
E9E2ACF2E14745068BA0DC46691750D4,ewMHzB,2,Male,34,2,2
B7F7832409EE4FE1B88415AF2DB17D9E,eNqCUq,2,Female,62,-2,1
C4B59EE245204D59AFFA7BF904230540,ewMHzB,2,Male,24,0,1
B88209C99E5B48428EB28D5D95E37067,eNqCUq,4,Male,26,-1,0
2B6E7580A0964CABA9A80744D910F58F,eNqCUq,1,Male,29,-2,2
136A3BEC6C58484DA31737AC89208C35,eNqCUq,2,Male,22,-3,2
8F60D57CB25948A7A7E8054E621D7571,eNqCUq,2,Female,28,2,3
2AC9A6CABA88491C8EC141B5ABCFEFBE,eNqCUq,4,Male,25,1,1
70C0C369F2CD43CB9D92809C78798B7A,eNqCUq,1,Male,50,-1,1
6CC9B9CD54704ADB8CA8B7425856FED3,eNqCUq,4,Female,67,-2,1
AB4C9332CCAE4179B2616A5E33CD9691,ewMHzB,3,Male,24,1,1
325787D7E6CA4328A287C32674A4F5B2,ewMHzB,3,Male,33,3,3
F2A88B8549DE49A1AFD06617A9FBD49E,eNqCUq,2,Male,54,3,-1
CEFD2FE92E6847B2B27FF0175811CE81,ewMHzB,3,Female,31,2,0
1B068E2BA80B438FA0DF1E0C998F32B2,eNqCUq,2,Female,44,2,3
A773D3BD75B3444CAF06E7C212042997,ewMHzB,4,Female,41,-1,2
B3B45CA0F1C842878ACFC5548C444184,ewMHzB,2,Male,39,2,3
EA3BF576A5614949B50479DF85516924,ewMHzB,4,Female,29,0,1
5F5E433E23CB4B9996913E0AFF9801B8,ewMHzB,3,Female,45,-1,2
5D6AFFE64EEF4C8CA704228906076F2A,eNqCUq,3,Male,34,1,3
7ECCA1E7A12A4DDEB457B1371F8C25AF,eNqCUq,2,Male,29,1,3
D7AE5854D0D644EF8734BCA55BB46B30,eNqCUq,2,Male,28,0,3
B0525260D0F8488D8D4695DD76FF64A8,eNqCUq,1,Female,57,3,3
42DB303C9E2D49AF9A4AB37C9D071D72,ewMHzB,2,Male,24,2,2
B5B681DB9B764A50BBB83FD2C53F50EB,ewMHzB,3,Male,23,-1,3
