"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","view_history","rt","response","question_order","stimulus"
"true","false","[]","[]","[]","preload","0","2.0.0","661","","","","",""
"","","","","","instructions","1","2.0.0","27524","[{""page_index"":0,""viewing_time"":26862}]","26862","","",""
"","","","","","survey-multi-choice","2","2.0.0","32761","","5236","{""mood"":""""}","[0]",""
"","","","","","survey-text","3","2.0.0","36747","","3985","{""gender"":""""}","",""
"","","","","","survey-text","4","2.0.0","42855","","6107","{""age"":""""}","",""
"","","","","","survey-multi-choice","5","2.0.0","45745","","2889","{""party"":""""}","[0]",""
"","","","","","survey-likert","6","2.0.0","47450","","1703","{""p_ideology"":""""}","[0]",""
"","","","","","instructions","7","2.0.0","87407","[{""page_index"":0,""viewing_time"":22306},{""page_index"":1,""viewing_time"":6917},{""page_index"":2,""viewing_time"":3995},{""page_index"":3,""viewing_time"":3483},{""page_index"":4,""viewing_time"":3256}]","39956","","",""
"","","","","","instructions","8","2.0.0","98873","[{""page_index"":0,""viewing_time"":11466}]","11466","","",""
"","","","","","html-button-response","9","2.0.0","114358","","15480","0","","<div class=""social-media-feed""><img src=""img/stim_set_control_dist_100/Slide685.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide650.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide641.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide621.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide645.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide667.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide651.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide635.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide694.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide615.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide699.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide679.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide674.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide640.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide664.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide686.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide660.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide655.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide642.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide681.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide684.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide698.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide678.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide661.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide697.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide677.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide675.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide700.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide671.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide619.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide687.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide696.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide636.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide616.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide603.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide628.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide691.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide607.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide669.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide605.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide693.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide659.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide648.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide692.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide601.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide672.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide682.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide630.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide631.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide633.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide625.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide654.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide626.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide620.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide647.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide639.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide613.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide662.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide668.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide614.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide688.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide609.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide680.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide622.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide657.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide632.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide617.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide666.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide643.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide653.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide649.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide673.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide602.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide623.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide618.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide665.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide627.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide670.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide656.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide646.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide610.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide658.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide608.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide606.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide644.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide634.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide611.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide638.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide612.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide629.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide637.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide624.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide695.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide663.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide683.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide676.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide652.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide690.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide604.PNG"" class=""stimulus""><img src=""img/stim_set_control_dist_100/Slide689.PNG"" class=""stimulus""></div>"
