"prolific_id","participant_id","trial_type","trial_index","political_affiliation","response","consented","blame_prescriptive","praise_prescriptive","emotion_prescriptive","poli_prescriptive","gender","age","language","education","employment","party","party_lean","political_ideology","political_follow","rep_id","dem_id","sm_use","sm_use_slider","sm_use_poli","sm_use_poli_slider","sm_post_poli","sm_post_poli_slider","share_why","image_shown"
"TEST123","176","instructions","0","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","html-button-response","1","republican","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","survey-html-form","2","republican","","","","","","","","","","","","republican","","","","","","","","","","","","",""
"TEST123","176","call-function","3","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","call-function","4","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","preload","5","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","instructions","6","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","html-slider-response","7","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide295.png"
"TEST123","176","html-slider-response","8","republican","3","","","","","","","","","","","","","","","","","","","","","","","","Slide15.png"
"TEST123","176","html-slider-response","9","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide84.png"
"TEST123","176","html-slider-response","10","republican","3","","","","","","","","","","","","","","","","","","","","","","","","Slide77.png"
"TEST123","176","html-slider-response","11","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide48.png"
"TEST123","176","html-slider-response","12","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide319.png"
"TEST123","176","html-slider-response","13","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide496.png"
"TEST123","176","html-slider-response","14","republican","3","","","","","","","","","","","","","","","","","","","","","","","","Slide252.png"
"TEST123","176","html-slider-response","15","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide447.png"
"TEST123","176","html-slider-response","16","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide349.png"
"TEST123","176","html-slider-response","17","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide491.png"
"TEST123","176","html-slider-response","18","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide50.png"
"TEST123","176","html-slider-response","19","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide107.png"
"TEST123","176","html-slider-response","20","republican","3","","","","","","","","","","","","","","","","","","","","","","","","Slide479.png"
"TEST123","176","html-slider-response","21","republican","5","","","","","","","","","","","","","","","","","","","","","","","","Slide42.png"
"TEST123","176","html-slider-response","22","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide45.png"
"TEST123","176","html-slider-response","23","republican","6","","","","","","","","","","","","","","","","","","","","","","","","Slide326.png"
"TEST123","176","html-slider-response","24","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide203.png"
"TEST123","176","html-slider-response","25","republican","2","","","","","","","","","","","","","","","","","","","","","","","","Slide312.png"
"TEST123","176","html-slider-response","26","republican","4","","","","","","","","","","","","","","","","","","","","","","","","Slide414.png"
"TEST123","176","instructions","27","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","survey-html-form","28","republican","","","5","4","3","4","","","","","","","","","","","","","","","","","","",""
"TEST123","176","instructions","29","republican","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","survey-html-form","30","republican","","","","","","","other","56","no_mostly_fluent","eighth_or_less","self_employed","","","","","","","","","","","","","",""
"TEST123","176","survey-html-form","31","republican","","","","","","","","","","","","","","4","5","4","3","","","","","","","",""
"TEST123","176","survey-html-form","32","republican","","","","","","","","","","","","","","","","","","4-6_times_a_week","64","2-3_times_a_week","43","daily_or_more","48","make_laugh",""
