"prolific_id","participant_id","trial_type","trial_index","political_affiliation","response","consented","blame_prescriptive","praise_prescriptive","emotion_prescriptive","poli_prescriptive","gender","age","language","education","employment","party","party_lean","political_ideology","political_follow","rep_id","dem_id","sm_use","sm_use_slider","sm_use_poli","sm_use_poli_slider","sm_post_poli","sm_post_poli_slider","share_why","images_shown","like_states","share_states","liked_images","shared_images","scroll_to_bottom"
"TEST123","176","instructions","0","republican","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","html-button-response","1","republican","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","survey-html-form","2","republican","","","","","","","","","","","","republican","","","","","","","","","","","","","","","","","",""
"TEST123","176","call-function","3","republican","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","social-media-feed","4","republican","","","","","","","","","","","","","","","","","","","","","","","","","[""img/stim_set_control_pol_600/Slide155.png"",""img/stim_set_control_pol_600/Slide28.png"",""img/stim_set_control_pol_600/Slide157.png"",""img/stim_set_control_pol_600/Slide267.png"",""img/stim_set_control_pol_600/Slide242.png"",""img/stim_set_control_pol_600/Slide190.png"",""img/stim_set_control_pol_600/Slide3.png"",""img/stim_set_control_pol_600/Slide48.png"",""img/stim_set_control_pol_600/Slide60.png"",""img/stim_set_control_pol_600/Slide297.png"",""img/stim_set_control_pol_600/Slide80.png"",""img/stim_set_control_pol_600/Slide1.png"",""img/stim_set_control_pol_600/Slide34.png"",""img/stim_set_control_pol_600/Slide23.png"",""img/stim_set_control_pol_600/Slide202.png"",""img/stim_set_control_pol_600/Slide118.png"",""img/stim_set_control_pol_600/Slide66.png"",""img/stim_set_control_pol_600/Slide195.png"",""img/stim_set_control_pol_600/Slide253.png"",""img/stim_set_control_pol_600/Slide44.png"",""img/stim_set_control_pol_600/Slide135.png"",""img/stim_set_control_pol_600/Slide156.png"",""img/stim_set_control_pol_600/Slide173.png"",""img/stim_set_control_pol_600/Slide185.png"",""img/stim_set_control_pol_600/Slide2.png"",""img/stim_set_control_pol_600/Slide15.png"",""img/stim_set_control_pol_600/Slide148.png"",""img/stim_set_control_pol_600/Slide216.png"",""img/stim_set_control_pol_600/Slide122.png"",""img/stim_set_control_pol_600/Slide273.png"",""img/stim_set_control_pol_600/Slide76.png"",""img/stim_set_control_pol_600/Slide575.png"",""img/stim_set_control_pol_600/Slide221.png"",""img/stim_set_control_pol_600/Slide198.png"",""img/stim_set_control_pol_600/Slide463.png"",""img/stim_set_control_pol_600/Slide43.png"",""img/stim_set_control_pol_600/Slide457.png"",""img/stim_set_control_pol_600/Slide472.png"",""img/stim_set_control_pol_600/Slide17.png"",""img/stim_set_control_pol_600/Slide486.png"",""img/stim_set_control_pol_600/Slide220.png"",""img/stim_set_control_pol_600/Slide53.png"",""img/stim_set_control_pol_600/Slide191.png"",""img/stim_set_control_pol_600/Slide187.png"",""img/stim_set_control_pol_600/Slide459.png"",""img/stim_set_control_pol_600/Slide490.png"",""img/stim_set_control_pol_600/Slide483.png"",""img/stim_set_control_pol_600/Slide194.png"",""img/stim_set_control_pol_600/Slide243.png"",""img/stim_set_control_pol_600/Slide117.png""]","[false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false]","[false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false]","[""img/stim_set_control_pol_600/Slide48.png"",""img/stim_set_control_pol_600/Slide80.png"",""img/stim_set_control_pol_600/Slide66.png"",""img/stim_set_control_pol_600/Slide173.png"",""img/stim_set_control_pol_600/Slide122.png"",""img/stim_set_control_pol_600/Slide457.png""]","[""img/stim_set_control_pol_600/Slide60.png"",""img/stim_set_control_pol_600/Slide80.png"",""img/stim_set_control_pol_600/Slide66.png"",""img/stim_set_control_pol_600/Slide173.png"",""img/stim_set_control_pol_600/Slide122.png"",""img/stim_set_control_pol_600/Slide457.png""]","true"
"TEST123","176","instructions","5","republican","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","social-media-feed","6","republican","","","","","","","","","","","","","","","","","","","","","","","","","[""img/stim_set_control_pol_600/Slide60.png"",""img/stim_set_control_pol_600/Slide457.png"",""img/stim_set_control_pol_600/Slide464.png"",""img/stim_set_control_pol_600/Slide392.png"",""img/stim_set_control_pol_600/Slide122.png"",""img/stim_set_control_pol_600/Slide14.png"",""img/stim_set_control_pol_600/Slide160.png"",""img/stim_set_control_pol_600/Slide32.png"",""img/stim_set_control_pol_600/Slide244.png"",""img/stim_set_control_pol_600/Slide91.png"",""img/stim_set_control_pol_600/Slide30.png"",""img/stim_set_control_pol_600/Slide183.png"",""img/stim_set_control_pol_600/Slide36.png"",""img/stim_set_control_pol_600/Slide263.png"",""img/stim_set_control_pol_600/Slide173.png"",""img/stim_set_control_pol_600/Slide170.png"",""img/stim_set_control_pol_600/Slide66.png"",""img/stim_set_control_pol_600/Slide284.png"",""img/stim_set_control_pol_600/Slide530.png"",""img/stim_set_control_pol_600/Slide116.png"",""img/stim_set_control_pol_600/Slide377.png"",""img/stim_set_control_pol_600/Slide123.png"",""img/stim_set_control_pol_600/Slide5.png"",""img/stim_set_control_pol_600/Slide90.png"",""img/stim_set_control_pol_600/Slide561.png"",""img/stim_set_control_pol_600/Slide505.png"",""img/stim_set_control_pol_600/Slide265.png"",""img/stim_set_control_pol_600/Slide140.png"",""img/stim_set_control_pol_600/Slide80.png"",""img/stim_set_control_pol_600/Slide379.png"",""img/stim_set_control_pol_600/Slide240.png"",""img/stim_set_control_pol_600/Slide428.png"",""img/stim_set_control_pol_600/Slide228.png"",""img/stim_set_control_pol_600/Slide324.png"",""img/stim_set_control_pol_600/Slide266.png"",""img/stim_set_control_pol_600/Slide217.png"",""img/stim_set_control_pol_600/Slide425.png"",""img/stim_set_control_pol_600/Slide450.png"",""img/stim_set_control_pol_600/Slide262.png"",""img/stim_set_control_pol_600/Slide85.png"",""img/stim_set_control_pol_600/Slide465.png"",""img/stim_set_control_pol_600/Slide257.png"",""img/stim_set_control_pol_600/Slide48.png"",""img/stim_set_control_pol_600/Slide209.png"",""img/stim_set_control_pol_600/Slide438.png"",""img/stim_set_control_pol_600/Slide270.png"",""img/stim_set_control_pol_600/Slide385.png"",""img/stim_set_control_pol_600/Slide180.png"",""img/stim_set_control_pol_600/Slide4.png"",""img/stim_set_control_pol_600/Slide336.png""]","[true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false]","[true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]","[""img/stim_set_control_pol_600/Slide60.png"",""img/stim_set_control_pol_600/Slide160.png"",""img/stim_set_control_pol_600/Slide263.png"",""img/stim_set_control_pol_600/Slide116.png"",""img/stim_set_control_pol_600/Slide140.png"",""img/stim_set_control_pol_600/Slide48.png""]","[""img/stim_set_control_pol_600/Slide60.png"",""img/stim_set_control_pol_600/Slide160.png"",""img/stim_set_control_pol_600/Slide263.png"",""img/stim_set_control_pol_600/Slide116.png"",""img/stim_set_control_pol_600/Slide140.png"",""img/stim_set_control_pol_600/Slide240.png""]","true"
"TEST123","176","instructions","7","republican","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","survey-html-form","8","republican","","","4","3","3","3","","","","","","","","","","","","","","","","","","","","","","","",""
"TEST123","176","instructions","9","republican","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
